"filename", "language", "JSON", "JSON with Comments", "JavaScript", "CSS", "TypeScript", "XML", "wxml", "comment", "blank", "total"
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\聊天界面\聊天界面.ts", "TypeScript", 0, 0, 0, 0, -20, 0, 0, -30, -20, -70
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\聊天界面\聊天界面.wxml", "wxml", 0, 0, 0, 0, 0, 0, -3, 0, 0, -3
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\pages\聊天界面\聊天界面.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\sitemap.json", "JSON", -7, 0, 0, 0, 0, 0, 0, 0, 0, -7
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\typings\index.d.ts", "TypeScript", 0, 0, 0, 0, -6, 0, 0, -1, -1, -8
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\typings\types\index.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\typings\types\wx\index.d.ts", "TypeScript", 0, 0, 0, 0, -86, 0, 0, -70, -8, -164
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\typings\types\wx\lib.wx.api.d.ts", "TypeScript", 0, 0, 0, 0, -9730, 0, 0, -21270, -4, -31004
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\typings\types\wx\lib.wx.app.d.ts", "TypeScript", 0, 0, 0, 0, -185, 0, 0, -221, -11, -417
"d:\CodeForEverthing\codeforwepro\miniprogram-1\miniprogram\typings\types\wx\lib.wx.behavior.d.ts", "TypeScript", 0, 0, 0, 0, -42, 0, 0, -22, -5, -69
